"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://cilium.io/","text/html; charset=UTF-8","200","OK","Indexable","","Cilium - Cloud Native, eBPF-based Networking, Observability, and Security","73","648","Cloud Native, eBPF-based Networking, Observability, and Security","64","416","","0","eBPF-based Networking, Observability, Security","46","","0","Use Cases","9","Networking","10","","","","https://cilium.io/","","","","","","366582","70394","70394","27.431","","669","125","5.352","67.231","Normal","1.976","0","0","","572","63","0","90.000","88","46","0","39","34","0","","","","","cfa20244bf82955e88020db7c89a50d2","1.127","","","","","","1.1","","","","","","https://cilium.io/","2025-08-10 15:38:35"
"https://cilium.io/static/hero-illustration-82419bb3a3f2525e2718d2bc7e094f91.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","12155","12155","12155","4.737","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.885","","","","","","1.1","","","","","","https://cilium.io/static/hero-illustration-82419bb3a3f2525e2718d2bc7e094f91.svg","2025-08-10 15:38:38"
"https://cilium.io/labs/categories/getting-started/","text/html; charset=UTF-8","200","OK","Indexable","","Cilium - Interactive Tutorials & Learning Labs","46","394","Hands on environments teaching how Cilium, Hubble, and Tetragon are used for networking, observability, and security","116","753","","0","Learn about Cilium with interactive courses","43","","0","Discovery: Platform Engineer","28","Discovery: SecOps Engineers","27","","","","https://cilium.io/labs/categories/getting-started/","","","","","","282397","52685","52685","20.530","","508","69","7.362","41.487","Hard","1.939","1","3","","166","63","0","90.000","64","28","0","22","19","0","","","","","49f0f9412540d99122c0d42d78af2f1f","0.548","","","","","","1.1","","","","","","https://cilium.io/labs/categories/getting-started/","2025-08-10 15:38:38"
"https://cilium.io/static/361f12a8c956ddcd3221fad385588635/37319/cover.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","37347","37347","37347","14.553","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.288","","","","","","1.1","","","","","","https://cilium.io/static/361f12a8c956ddcd3221fad385588635/37319/cover.png","2025-08-10 15:38:39"
"https://cilium.io/use-cases/network-policy/","text/html; charset=UTF-8","200","OK","Indexable","","Advanced Network Policy","23","226","Maintain identity based policies effectively at scale","53","322","","0","Advanced Network Policy","23","","0","How can I implement granular security policies when IPs change quickly?","71","Who’s using Cilium’s Advanced Network Policy?","45","","","","https://cilium.io/use-cases/network-policy/","","","","","","354732","106192","106192","41.381","","937","133","7.045","44.298","Hard","3.295","1","2","","4","4","0","5.710","63","24","0","21","18","0","","","","","14c975787dc9090b6398a5658b186084","1.358","","","","","","1.1","","","","","","https://cilium.io/use-cases/network-policy/","2025-08-10 15:38:38"
"https://cilium.io/blog/2025/07/08/byonci-overlay-install/","text/html; charset=UTF-8","200","OK","Indexable","","Installing Cilium on EKS in Overlay(BYOCNI) and CNI Chaining Mode","65","602","Learn how to setup Cilium in EKS environments...","48","312","","0","Installing Cilium on EKS in Overlay(BYOCNI) and CNI Chaining Mode","65","","0","Installing Cilium on EKS in Overlay(BYOCNI) and CNI Chaining Mode","65","Installing Cilium on EKS in CNI chaining mode","45","","","","https://cilium.io/blog/2025/07/08/byonci-overlay-install/","","","","","","292865","58357","58357","22.741","","1508","346","4.358","64.235","Normal","4.593","1","5","","22","21","0","30.000","69","33","0","23","20","0","","","","","206584feaf11a7e09efb14feca689d41","1.028","","","","","","1.1","","","","","","https://cilium.io/blog/2025/07/08/byonci-overlay-install/","2025-08-10 15:38:40"
"https://cilium.io/use-cases/cni/","text/html; charset=UTF-8","200","OK","Indexable","","High Performance Cloud Native Networking (CNI)","46","438","Enhance the speed and efficiency of your Kubernetes and cloud native networks","77","507","","0","High Performance Cloud Native Networking (CNI)","46","","0","How can I have scalable and consistent networking across clouds?","64","Who’s using Cilium for High Performance Cloud Native Networking(CNI)","68","","","","https://cilium.io/use-cases/cni/","","","","","","300732","70781","70781","27.582","","866","127","6.819","45.563","Hard","3.134","1","2","","4","4","0","5.710","65","26","0","18","15","0","","","","","6eaa4e005bb86052a234a98d1788825c","1.200","","","","","","1.1","","","","","","https://cilium.io/use-cases/cni/","2025-08-10 15:38:40"
"https://cilium.io/industries/edge-computing/","text/html; charset=UTF-8","200","OK","Indexable","","Edge Computing","14","146","Discover Cloud Providers use Cilium","35","228","","0","Edge Computing","14","","0","Seamless Connectivity for Edge Infrastructures","46","Optimized for Resource-Constrained Environments","47","","","","https://cilium.io/industries/edge-computing/","","","","","","339091","107149","107149","41.754","","691","99","6.980","27.490","Very Hard","2.805","1","2","","126","63","0","90.000","61","24","0","20","16","0","","","","","5a1283a3991e0a29557c492b65713170","1.349","","","","","","1.1","","","","","","https://cilium.io/industries/edge-computing/","2025-08-10 15:38:40"
"https://cilium.io/industries/security/","text/html; charset=UTF-8","200","OK","Indexable","","Security","8","71","Discover how companies in the security industry and companies whom security is integral to their operations leverage cilium.","124","790","","0","Security","8","","0","Secure Modern Applications with Cilium's Advanced Network Policies. Scale Policies with Identities, Not IPs","107","Tetragon: eBPF-based Security Observability and Runtime Enforcement","67","","","","https://cilium.io/industries/security/","","","","","","338765","81176","81176","31.633","","1015","146","6.952","26.495","Very Hard","3.644","1","2","","126","63","0","90.000","64","27","0","21","17","0","","","","","64e0c50bdcba817617e02a4a59698f18","1.406","","","","","","1.1","","","","","","https://cilium.io/industries/security/","2025-08-10 15:38:41"
"https://cilium.io/blog/2025/16/01/themed-echo-playlists/","text/html; charset=UTF-8","200","OK","Indexable","","Explore Our New eCHO Playlist Library","37","336","Themed Sessions for Every Cilium & eBPF Topic...","48","316","","0","Explore Our New eCHO Playlist Library","37","🚀 Cilium in Production","23","Recap","5","Popular posts","13","","","","https://cilium.io/blog/2025/16/01/themed-echo-playlists/","","","","","","289927","57653","57653","22.466","","1214","234","5.188","55.575","Fairly Hard","3.764","1","5","","2","2","0","2.860","62","26","0","50","46","0","","","","","906255a98caa5c05597bae9648e27de5","1.354","","","","","","1.1","","","","","","https://cilium.io/blog/2025/16/01/themed-echo-playlists/","2025-08-10 15:38:42"
"https://cilium.io/use-cases/bgp/","text/html; charset=UTF-8","200","OK","Indexable","","BGP","3","39","Harness the infinite potential of Border Gateway Protocol (BGP) with Cilium","75","474","","0","BGP","3","","0","Supercharge Your Routing Protocol","33","Who’s using Cilium’s BGP ?","26","","","","https://cilium.io/use-cases/bgp/","","","","","","277496","64457","64457","25.118","","496","74","6.703","52.835","Fairly Hard","2.066","1","2","","3","3","0","4.290","63","24","0","14","11","0","","","","","cc9fcf0f29e81ff87da2ba04d24cac60","1.349","","","","","","1.1","","","","","","https://cilium.io/use-cases/bgp/","2025-08-10 15:38:42"
"https://cilium.io/webpack-runtime-9bb31e8f3a8ca6426cfb.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","8418","8418","8418","3.280","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.876","","","","","","1.1","","","","","","https://cilium.io/webpack-runtime-9bb31e8f3a8ca6426cfb.js","2025-08-10 15:38:43"
"https://cilium.io/get-involved/","text/html; charset=UTF-8","200","OK","Indexable","","Get involved in the Cilium community","36","327","Learn how to follow, develop, and contribute to the Cilium community through Slack, Twitter, Youtube, the newsletter, and Github","128","814","","0","Join the Cilium community","25","","0","Brand and Logo Guidelines","25","Develop and contribute","22","","","","https://cilium.io/get-involved/","","","","","","275759","54443","54443","21.216","","313","60","5.217","72.343","Fairly Easy","1.355","1","1","","126","63","0","90.000","65","25","0","20","17","0","","","","","47abbe6b90b4997038317ec6c821a717","1.236","","","","","","1.1","","","","","","https://cilium.io/get-involved/","2025-08-10 15:38:43"
"https://cilium.io/use-cases/service-mesh/","text/html; charset=UTF-8","200","OK","Indexable","","Cilium Service Mesh","19","179","Revolutionizing networking and simplify operations","50","322","","0","Cilium Service Mesh","19","","0","Performance Meets Simplicity","28","Who’s using Cilium's Service Mesh","33","","","","https://cilium.io/use-cases/service-mesh/","","","","","","283131","60265","60265","23.484","","743","109","6.817","49.276","Hard","2.780","1","2","","3","3","0","4.290","63","24","0","18","15","0","","","","","3be0e8f9c5581b4f5a32e51ef8d6ef20","1.487","","","","","","1.1","","","","","","https://cilium.io/use-cases/service-mesh/","2025-08-10 15:38:44"
"https://tetragon.cilium.io/docs/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","60","60","60","0.023","","0","","","","","0.000","1","1","","126","63","0","90.000","0","0","0","0","0","0","","","","","","1.144","","https://tetragon.io/docs/","HTTP Redirect","","","1.1","","","","","","https://tetragon.cilium.io/docs/","2025-08-10 15:38:45"
"https://cilium.io/industries/financial-services/","text/html; charset=UTF-8","200","OK","Indexable","","Financial Services","18","160","Discover how companies in the financial service industry leverage cilium for zero-trust security and continuos compliance","121","766","","0","Financial Services","18","","0","“Always On” Workload Analysis for Continuous Compliance","55","Enforce Zero-Trust Security with Ease. No Disparate Tools, No Performance Hits","78","","","","https://cilium.io/industries/financial-services/","","","","","","338516","78240","78240","30.489","","1075","160","6.719","38.921","Hard","3.686","1","2","","126","63","0","90.000","64","27","0","28","24","0","","","","","ffee8d97930e0d3f393bcc9390a50ba7","1.149","","","","","","1.1","","","","","","https://cilium.io/industries/financial-services/","2025-08-10 15:38:45"
"https://cilium.io/use-cases/runtime-security/","text/html; charset=UTF-8","200","OK","Indexable","","Runtime Security","16","150","Prevent threats and enforce policies in real-time","49","303","","0","Runtime Security","16","","0","Achieve threat prevention in cloud native environments while maintaining operational agility","92","Who’s using Cilium’s Tetragon for Security Observability and Runtime Enforcement?","81","","","","https://cilium.io/use-cases/runtime-security/","","","","","","554160","267376","267376","104.192","","510","81","6.296","32.903","Hard","2.177","1","2","","3","3","0","4.290","63","24","0","21","17","0","","","","","4bb95f77f2560ef280859bec6edc8b58","1.422","","","","","","1.1","","","","","","https://cilium.io/use-cases/runtime-security/","2025-08-10 15:38:44"
"https://cilium.io/static/lab-ffb720036dd9213aee66555a118d9696.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","575","575","575","0.224","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.285","","","","","","1.1","","","","","","https://cilium.io/static/lab-ffb720036dd9213aee66555a118d9696.svg","2025-08-10 15:38:46"
